Time[sec], DTG[m], V(tas)[m/s], vRate[m/s], x[m], y[m], h[m], gs[fps]
188,207165.75818,220.018,-0.000,175443.33722,52973.06202,10668.00000,619.29041
189,206976.99594,220.018,-0.000,175254.57775,52972.03866,10668.00000,619.29871
190,206788.23115,220.018,-0.000,175065.81574,52971.01593,10668.00000,619.30703
191,206599.46383,220.018,-0.000,174877.05118,52969.99378,10668.00000,619.31538
192,206410.69395,220.018,-0.000,174688.28406,52968.97218,10668.00000,619.32375
193,206221.92151,220.018,-0.000,174499.51439,52967.95110,10668.00000,619.33214
194,206033.14651,220.018,-0.000,174310.74214,52966.93051,10668.00000,619.34057
195,205844.36893,220.018,-0.000,174121.96732,52965.91038,10668.00000,619.34901
196,205655.58877,220.018,-0.000,173933.18991,52964.89069,10668.00000,619.35749
197,205466.80601,220.018,-0.000,173744.40990,52963.87141,10668.00000,619.36600
198,205278.02065,220.018,-0.000,173555.62730,52962.85251,10668.00000,619.37453
199,205089.23268,220.018,-0.000,173366.84208,52961.83398,10668.00000,619.38310
200,204900.44210,220.018,-0.000,173178.05423,52960.81579,10668.00000,619.39169
201,204711.64888,220.018,-0.000,172989.26376,52959.79792,10668.00000,619.40032
202,204522.85302,220.018,-0.000,172800.47065,52958.78035,10668.00000,619.40898
203,204334.05452,220.018,-0.000,172611.67488,52957.76307,10668.00000,619.41767
204,204145.25335,220.018,-0.000,172422.87646,52956.74605,10668.00000,619.42639
205,203956.44952,220.018,-0.000,172234.07536,52955.72929,10668.00000,619.43515
206,203767.64300,220.018,-0.000,172045.27158,52954.71277,10668.00000,619.44395
207,203578.83380,220.018,-0.000,171856.46511,52953.69646,10668.00000,619.45277
208,203390.02189,220.018,-0.000,171667.65594,52952.68037,10668.00000,619.46163
209,203201.20727,220.018,-0.000,171478.84405,52951.66447,10668.00000,619.47053
210,203012.38993,220.018,-0.000,171290.02944,52950.64876,10668.00000,619.47947
211,202823.56986,220.018,-0.000,171101.21210,52949.63322,10668.00000,619.48843
212,202634.74704,220.018,-0.000,170912.39201,52948.61785,10668.00000,619.49744
213,202445.92146,220.018,-0.000,170723.56916,52947.60263,10668.00000,619.50648
214,202257.09312,220.018,-0.000,170534.74355,52946.58755,10668.00000,619.51556
215,202068.26200,220.018,-0.000,170345.91515,52945.57260,10668.00000,619.52468
216,201879.42808,220.018,-0.000,170157.08397,52944.55778,10668.00000,619.53383
217,201690.59137,220.018,-0.000,169968.24998,52943.54308,10668.00000,619.54303
218,201501.75284,220.018,-0.000,169779.41417,52942.52896,10668.00000,619.54898
219,201312.91428,220.018,-0.000,169590.57833,52941.51627,10668.00000,619.54909
220,201124.07568,220.018,-0.000,169401.74243,52940.50498,10668.00000,619.54922
221,200935.23704,220.018,-0.000,169212.90650,52939.49500,10668.00000,619.54932
222,200746.39839,220.018,-0.000,169024.07055,52938.48622,10668.00000,619.54938
223,200557.55974,220.018,-0.000,168835.23458,52937.47848,10668.00000,619.54938
224,200368.72111,220.018,-0.000,168646.39864,52936.47163,10668.00000,619.54931
225,200179.88252,220.018,-0.000,168457.56272,52935.46552,10668.00000,619.54919
226,199991.04398,220.018,-0.000,168268.72687,52934.46000,10668.00000,619.54901
227,199802.20552,220.018,-0.000,168079.89108,52933.45493,10668.00000,619.54877
228,199613.36714,220.018,-0.000,167891.05537,52932.45019,10668.00000,619.54849
229,199424.52886,220.018,-0.000,167702.21976,52931.44568,10668.00000,619.54817
230,199235.69068,220.018,-0.000,167513.38425,52930.44129,10668.00000,619.54782
231,199046.85262,220.018,-0.000,167324.54886,52929.43694,10668.00000,619.54746
232,198858.01466,220.018,-0.000,167135.71358,52928.43257,10668.00000,619.54708
233,198669.17683,220.018,-0.000,166946.87842,52927.42811,10668.00000,619.54670
234,198480.33911,220.018,-0.000,166758.04337,52926.42352,10668.00000,619.54632
235,198291.50151,220.018,-0.000,166569.20844,52925.41876,10668.00000,619.54594
236,198102.66402,220.018,-0.000,166380.37362,52924.41381,10668.00000,619.54558
237,197913.82663,220.018,-0.000,166191.53891,52923.40864,10668.00000,619.54524
238,197724.98934,220.018,-0.000,166002.70429,52922.40323,10668.00000,619.54491
239,197536.15214,220.018,-0.000,165813.86977,52921.39758,10668.00000,619.54461
240,197347.31502,220.018,-0.000,165625.03534,52920.39168,10668.00000,619.54434
241,197158.47798,220.018,-0.000,165436.20098,52919.38553,10668.00000,619.54409
242,196969.64101,220.018,-0.000,165247.36668,52918.37913,10668.00000,619.54388
243,196780.80409,220.018,-0.000,165058.53245,52917.37248,10668.00000,619.54369
244,196591.86099,220.126,-0.000,164869.59214,52916.34566,10668.00000,619.89208
245,196402.74317,220.304,-0.000,164680.47728,52915.28583,10668.00000,620.46530
246,196213.40636,220.526,-0.000,164491.14365,52914.18575,10668.00000,621.18382
247,196023.82188,220.778,-0.000,164301.56257,52913.04251,10668.00000,621.99647
248,195833.97109,221.047,-0.000,164111.71541,52911.85632,10668.00000,622.87031
249,195643.84181,221.328,-0.000,163921.58998,52910.62962,10668.00000,623.78408
250,195453.42609,221.616,-0.000,163731.17829,52909.36628,10668.00000,624.72401
251,195262.71869,221.908,-0.000,163540.47509,52908.07103,10668.00000,625.68110
252,195071.71617,222.203,-0.000,163349.47691,52906.74900,10668.00000,626.64944
253,194880.41632,222.499,-0.000,163158.18151,52905.40537,10668.00000,627.62508
254,194688.81771,222.796,-0.000,162966.58744,52904.04518,10668.00000,628.60531
255,194496.91952,223.092,-0.000,162774.69384,52902.67316,10668.00000,629.58827
256,194304.72130,223.389,-0.000,162582.50026,52901.29358,10668.00000,630.57261
257,194112.22295,223.684,-0.000,162390.00655,52899.91029,10668.00000,631.55735
258,193919.42455,223.979,-0.000,162197.21279,52898.52664,10668.00000,632.54173
259,193726.32638,224.273,-0.000,162004.11926,52897.14548,10668.00000,633.52518
260,193532.92888,224.567,-0.000,161810.72635,52895.76924,10668.00000,634.50723
261,193339.23258,224.859,-0.000,161617.03461,52894.39988,10668.00000,635.48749
262,193145.20812,225.151,-0.000,161423.01459,52893.05097,10668.00000,636.56399
263,192950.88596,225.442,-0.000,161228.69681,52891.71183,10668.00000,637.54067
264,192756.26698,225.731,-0.000,161034.08216,52890.38277,10668.00000,638.51441
265,192561.35209,226.020,-0.000,160839.17153,52889.06406,10668.00000,639.48518
266,192366.14221,226.308,-0.000,160643.96586,52887.75590,10668.00000,640.45293
267,192170.63829,226.595,-0.000,160448.46608,52886.45844,10668.00000,641.41761
268,191974.84126,226.881,-0.000,160252.67314,52885.17172,10668.00000,642.37916
269,191778.75211,227.166,-0.000,160056.58801,52883.89575,10668.00000,643.33754
270,191582.37181,227.450,-0.000,159860.21167,52882.63043,10668.00000,644.29271
271,191385.70135,227.734,-0.000,159663.54511,52881.37562,10668.00000,645.24464
272,191188.74173,228.016,-0.000,159466.58933,52880.13113,10668.00000,646.19328
273,190991.49396,228.297,-0.000,159269.34534,52878.89670,10668.00000,647.13862
274,190793.95905,228.578,-0.000,159071.81416,52877.67204,10668.00000,648.08063
275,190596.13804,228.857,-0.000,158873.99681,52876.45684,10668.00000,649.01929
276,190398.03193,229.136,-0.000,158675.89432,52875.25073,10668.00000,649.95460
277,190199.64176,229.413,-0.000,158477.50772,52874.05336,10668.00000,650.88653
278,190000.96856,229.690,-0.000,158278.83804,52872.86433,10668.00000,651.81510
279,189802.01335,229.966,-0.000,158079.88631,52871.68327,10668.00000,652.74028
280,189602.77718,230.240,-0.000,157880.65356,52870.50977,10668.00000,653.66209
281,189403.26105,230.514,-0.000,157681.14082,52869.34343,10668.00000,654.58053
282,189203.46602,230.787,-0.000,157481.34913,52868.18387,10668.00000,655.49560
283,189003.39309,231.059,-0.000,157281.27951,52867.03069,10668.00000,656.40730
284,188803.04329,231.330,-0.000,157080.93298,52865.88351,10668.00000,657.31564
285,188602.41765,231.600,-0.000,156880.31058,52864.74196,10668.00000,658.22064
286,188401.51719,231.869,-0.000,156679.41332,52863.60568,10668.00000,659.12230
287,188200.34291,232.137,-0.000,156478.24221,52862.47431,10668.00000,660.02062
